ID,类别,文本摘要,原版分数,改进版分数,质量等级,人工-信息密度,人工-完整性,人工-可执行性,人工-长期价值,人工-综合评分,人工综合,分数提升,人工认可
K1,knowledge,AI工程师主干课程体系：数据结构（数组/链表/哈希表/树图）、算法（BFS/DFS）、机器学习基础...,1.5,2.2,高,3.0,2.0,3.0,4.0,3.0,3.0,0.7000000000000002,0.375
K2,knowledge,Vibe Coding核心理念：胶水编程（能抄不写能连不造）、Canvas白板驱动开发、AI蜂群协作...,1.8,2.5,高,2.5,2.0,5.0,4.5,3.6,3.5,0.7,0.875
K3,knowledge,OpenViking成功关键分析：传统RAG困境→向量检索→Top-K片段→全部塞进模型...核心洞察,1.4,2.1,高,4.0,2.0,3.0,3.5,3.5,3.125,0.7000000000000002,0.5
K4,knowledge,MemQ Pro分层检索系统：L0/L1/L2分层、质量评分系统（6维度）、混合检索（向量+BM25+RRF）...,1.3,1.9,中,3.5,3.0,2.0,4.0,3.8,3.125,0.5999999999999999,0.5
K5,knowledge,混合记忆架构设计：三层架构（热/温/冷）、缓存策略、查询优化...预期效果（性能提升10x）,1.2,1.7,中,4.4,3.5,3.0,3.6,4.0,3.625,0.5,1.0
K6,knowledge,ACP Client实现最小方案：CopilotACPClient约400行核心逻辑，protocol配置示例,1.0,1.4,中,3.0,3.0,4.0,3.2,3.0,3.3,0.3999999999999999,0.6749999999999998
K7,knowledge,让我看看NAS的IP地址和访问方式...检查SSH连接情况,0.5,0.6,低,0.5,1.0,2.0,0.5,1.0,1.0,0.09999999999999998,-1.625
K8,knowledge,我整理了一下需求，创建目录并转化文档,0.4,0.5,低,1.0,1.0,3.0,1.5,1.3,1.625,0.09999999999999998,-1.0
D1,decision,雅思9天强化学习计划定时提醒：每天7:00自动调度，9天时段覆盖，Telegram推送完成,1.6,2.3,高,2.6,4.0,4.0,1.0,2.6,2.9,0.6999999999999997,0.2749999999999999
D2,decision,DSS爬虫部署完成：/opt/spider/dss_spider.py，每天7:00采集宏观数据和市场情绪，首次采集已完成,1.5,2.2,高,3.8,4.0,4.0,3.0,3.4,3.7,0.7000000000000002,1.0750000000000002
D3,decision,混合记忆架构阶段1完成：元数据增强+LRU缓存，测试通过，Git提交历史332a58e...,1.3,1.9,中,3.0,3.4,3.0,3.0,3.1,3.1,0.5999999999999999,0.4750000000000001
D4,decision,雅思学习计划设置：从2月15日到23日，每日时段安排，定时提醒系统配置,1.2,1.7,中,2.0,3.9,4.0,0.5,2.0,2.6,0.5,-0.02499999999999991
D5,decision,建立A股每日任务：开盘时预测，收盘时验证，中午一次监控走向，决定是否调整预测,1.0,1.5,中,2.0,4.0,4.6,3.5,3.0,3.525,0.5,0.8999999999999999
D6,decision,分析task2，给我今晚的复习计划,0.4,0.5,低,0.6,0.4,2.0,0.1,0.3,0.775,0.09999999999999998,-1.85
D7,decision,现在让我检查一下项目是否已经有远程仓库配置,0.3,0.4,低,0.5,0.4,2.6,0.5,0.4,1.0,0.10000000000000003,-1.625
C1,code,TechnicalAnalyzer类：RSI、MACD、布林带、移动平均线计算...动态权重调整函数calculate_dynamic_weights,2.0,2.8,高,4.8,4.0,2.5,4.6,4.5,3.975,0.7999999999999998,1.35
C2,code,HKUDSGlueLayer类设计：__init__初始化、统一接口连接AI-Trader和LightRAG组件...,1.7,2.4,高,4.0,3.6,2.5,4.0,3.7,3.525,0.7,0.8999999999999999
C3,code,"BM25检索确认正常：""代码风格""→m1✅，""选股系统""→m2✅，""Kimi""→m3,m2✅...集成完成",1.4,2.0,高,3.9,2.6,3.8,4.0,3.4,3.575,0.6000000000000001,0.9500000000000002
C4,code,DSS项目结构：main.py主入口、config.py配置、backtest.py回测...Python文件5233个,1.2,1.6,中,2.0,3.0,4.0,3.0,3.4,3.0,0.40000000000000013,0.375
C5,code,Shell命令注入修复boundary/gateway.py，Sandbox修复docker_executor.py...测试硬编码路径问题,1.0,1.4,中,3.6,3.0,3.0,1.0,2.3,2.65,0.3999999999999999,0.02499999999999991
C6,code,⚠️ Exec: cd ~/.openclaw/workspace && git init failed: 已重新初始化已存在的Git仓库,0.6,0.7,低,1.0,1.0,0.7,1.0,0.87,0.925,0.09999999999999998,-1.7
C7,code,⚠️ Exec: python3 -m ensurepip --upgrade failed: No module named ensurepip,0.5,0.6,低,1.0,1.0,1.0,0.0,0.7,0.75,0.09999999999999998,-1.875
